"Record ID","Catalogue Number","Taxon Concept GUID","Scientific Name - original","Vernacular name - original","Scientific Name","Taxon Rank","Vernacular name","Kingdom","Phylum","Class","Order","Family","Genus","Species","Subspecies","Data Resource ID","Data Resource Name","Institution ID","Institution","Collection ID","Collection","Licence","Institution Code","Collection Code","Locality","Latitude - original","Longitude - original","Geodetic datum - original","Latitude","Longitude","Coordinate Precision","Coordinate Uncertainty in Metres","Country - parsed","State - parsed","Local Government Areas 2011","IMCRA 4 Regions","IBRA 7 Regions","Minimum elevation in meters","Maximum elevation in meters","Minimum depth in meters","Maximum depth in meters","Individual count","Collector","Year","Month","Day","Event Date - parsed","Verbatim event date","Basis Of Record - original","Basis Of Record","Occurrence status","Sex","Preparations","Outlier for layer","Taxonomic Quality","Location Quality","Record number"
"57fac6b3-950c-4cb6-9713-a4ae2830fe61","R08201","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr343","Northern Territory Museum and Art Gallery provider for OZCAM","in17","Museum and Art Gallery of the Northern Territory","co140","Museum and Art Gallery of the Northern Territory Reptile Collection","CC-BY 3.0 (Au)","MAGNT","Reptile","Nourlangie","-12.767","132.65","not recorded","-12.767","132.65","","","Australia","Northern Territory","West Arnhem (S)","","Pine Creek","","","","","","","1977","12","6","1977-12-06","","Preserved Specimen","PreservedSpecimen","present","","whole animal (ETOH)","","true","true",""
"5726e113-6129-4cfd-9b7c-b85297c19787","R27475","urn:lsid:biodiversity.org.au:afd.taxon:94201718-efa1-4d00-b1c7-0b0fdee9ba24","Acanthophis hawkei","","Acanthophis hawkei","species","Barkly Tableland Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis hawkei","","dr343","Northern Territory Museum and Art Gallery provider for OZCAM","in17","Museum and Art Gallery of the Northern Territory","co140","Museum and Art Gallery of the Northern Territory Reptile Collection","CC-BY 3.0 (Au)","MAGNT","Reptile","Adelaide River Floodplain, Outer Darwin","-12.671","131.354","not recorded","-12.671","131.354","","","Australia","Northern Territory","Unincorporated NT","","Darwin Coastal","","","","","","","2004","12","2","2004-12-02","","Preserved Specimen","PreservedSpecimen","present","","whole animal (ETOH)","","true","true",""
"53ecb768-06bd-4996-820a-bc73bb852ef2","ABTC81193","urn:lsid:biodiversity.org.au:afd.taxon:550d8dbe-accf-467d-b117-2963294b6797","Acanthophis rugosus Loveridge, 1948","","Acanthophis rugosus","species","Rough-scaled Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis rugosus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co166","South Australian Museum Australian Biological Tissue Collection","CC-BY","SAMA","AustralianBiologicalTissueCollection","","-13.85","131.63","","-13.85","131.63","","","Australia","Northern Territory","Victoria-Daly (S)","","Daly Basin","","","","","","","2003","12","04","2003-12-04","","MaterialSample","MaterialSample","present","","","","true","true","ASH005"
"4fe6af7f-0915-4604-bede-0fd9e3ada8cc","R29847","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr343","Northern Territory Museum and Art Gallery provider for OZCAM","in17","Museum and Art Gallery of the Northern Territory","co140","Museum and Art Gallery of the Northern Territory Reptile Collection","CC-BY 3.0 (Au)","MAGNT","Reptile","Daly River Road, Daly River Region","-13.493","131.04","not recorded","-13.493","131.04","","","Australia","Northern Territory","Victoria-Daly (S)","","Daly Basin","","","","","","","2006","12","19","2006-12-19","","Preserved Specimen","PreservedSpecimen","present","","whole animal (ETOH)","","true","true",""
"4f66d907-d043-45e6-8239-403c1d73b481","J76113","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus","Common Death Adder","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr344","Queensland Museum provider for OZCAM","in15","Queensland Museum","co153","Queensland Museum Amphibians and Reptiles","CC-BY","QM","Herpetology","Captive bred","","","","","","","","Australia","","","","","","","","","","","2000","12","20","2000-12-20","","Preserved specimen","PreservedSpecimen","present","","Skeletal parts","","true","",""
"4bd2dc9b-a39c-4ed2-aaa7-f9bb91d79019","J77587","urn:lsid:biodiversity.org.au:afd.taxon:87d998a1-39f3-4d88-9282-4fd1bea25ba8","Acanthophis praelongus","Northern Death Adder","Acanthophis praelongus","species","Northern Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis praelongus","","dr344","Queensland Museum provider for OZCAM","in15","Queensland Museum","co153","Queensland Museum Amphibians and Reptiles","CC-BY","QM","Herpetology","Julatten and Mossman, road between","-16.55","145.383333","","-16.55","145.383333","","1000.0","Australia","Queensland","Tablelands (R)","","Wet Tropics","","","","","1","urn:qm.qld.gov.au:collector:32324","2001","12","12","2001-12-12","","Preserved specimen","PreservedSpecimen","present","","Spirit","","true","true",""
"46b10f25-5a7a-42bb-9796-ede41f2b32ab","ABTC55497.2","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co166","South Australian Museum Australian Biological Tissue Collection","CC-BY","SAMA","AustralianBiologicalTissueCollection","","-34.53","136.28","","-34.53","136.28","","","Australia","South Australia","Unincorporated SA","","Eyre Yorke Block","","","","","","","1983","12","07","1983-12-07","","MaterialSample","MaterialSample","present","","","","true","true",""
"4629d157-720f-4041-bb62-1345eadd38a6","ABTC55495.2","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr346","South Australian Museum Australia provider for OZCAM","in22","South Australian Museum","co166","South Australian Museum Australian Biological Tissue Collection","CC-BY","SAMA","AustralianBiologicalTissueCollection","","-34.53","136.28","","-34.53","136.28","","","Australia","South Australia","Unincorporated SA","","Eyre Yorke Block","","","","","","","1983","12","07","1983-12-07","","MaterialSample","MaterialSample","present","","","","true","true",""
"45893f9e-c1a7-4ccb-8717-7f26422dedf1","R.135437","urn:lsid:biodiversity.org.au:afd.taxon:2a5645ea-e3af-4810-9f6e-c84279cca737","Acanthophis antarcticus (Shaw & Nodder, 1802)","Common Death Adder","Acanthophis antarcticus","species","Common Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis antarcticus","","dr340","Australian Museum provider for OZCAM","in4","Australian Museum","co10","Australian Museum Herpetology Collection","CC-BY","AM","Herpetology","","-33.550","151.300","","-33.55","151.3","","10000.0","Australia","New South Wales","Gosford (C)","","Sydney Basin","","","","","","Sadlier, Dr Ross Allen - Australian Museum - Herpetology","1991","12","12","1991-12-12","","PreservedSpecimen","PreservedSpecimen","present","","","","true","true",""
"451413a7-1203-4021-aa57-90795da0d511","J76634","urn:lsid:biodiversity.org.au:afd.taxon:87d998a1-39f3-4d88-9282-4fd1bea25ba8","Acanthophis praelongus","Northern Death Adder","Acanthophis praelongus","species","Northern Death Adder","Animalia","Chordata","Reptilia","Squamata","Elapidae","Acanthophis","Acanthophis praelongus","","dr344","Queensland Museum provider for OZCAM","in15","Queensland Museum","co153","Queensland Museum Amphibians and Reptiles","CC-BY","QM","Herpetology","Nelly Bay, Magnetic Is","-19.166667","146.85","","-19.166667","146.85","","1000.0","Australia","Queensland","","Northeast Shelf Province","","","","","","","urn:qm.qld.gov.au:collector:5583","1998","12","14","1998-12-14","","Preserved specimen","PreservedSpecimen","present","Male","Spirit","","true","true",""
